rank,kanji,count,on_readings,kun_readings,nanori,meanings_en
846,因,1208708,,,,
847,担,1208618,,,,
848,尾,1205198,,,,
849,条,1204983,,,,
850,労,1202676,,,,
851,歌,1202060,,,,
852,責,1199517,,,,
853,奇,1195885,,,,
854,含,1195229,,,,
855,週,1187772,,,,
856,睨,1187321,,,,
857,骨,1185808,,,,
858,眺,1180425,,,,
859,至,1175503,,,,
860,補,1174193,,,,
861,悔,1174140,,,,
862,討,1169508,,,,
863,号,1168616,,,,
864,陸,1167134,,,,
865,那,1165613,,,,
866,沈,1160420,,,,
867,編,1157747,,,,
868,斬,1155153,,,,
869,咲,1153117,,,,
870,荷,1152137,,,,
871,焦,1150455,,,,
872,溜,1146909,,,,
873,如,1146859,,,,
874,也,1145082,,,,
875,雄,1141071,,,,
876,雰,1138908,,,,
877,棒,1136080,,,,
878,丁,1130784,,,,
879,犬,1122586,,,,
880,館,1119068,,,,
881,桜,1118074,,,,
882,到,1116873,,,,
883,庭,1112836,,,,
884,評,1110841,,,,
885,毒,1108030,,,,
886,志,1108021,,,,
887,辛,1107062,,,,
888,蹴,1105904,,,,
889,柔,1104818,,,,
890,描,1101733,,,,
891,盛,1099179,,,,
892,仮,1099137,,,,
893,絵,1097158,,,,
894,究,1095833,,,,
895,政,1095337,,,,
896,覗,1093238,,,,
897,層,1092140,,,,
898,裂,1091844,,,,
899,積,1091231,,,,
900,呂,1088955,,,,
901,狂,1087177,,,,
902,展,1084444,,,,
903,召,1083335,,,,
904,遣,1082348,,,,
905,椅,1079139,,,,
906,厳,1076287,,,,
907,汚,1076143,,,,
908,膝,1074342,,,,
909,写,1073187,,,,
910,悩,1073137,,,,
911,査,1069749,,,,
912,訪,1068810,,,,
913,覆,1067509,,,,
914,率,1066995,,,,
915,甲,1066125,,,,
916,章,1063721,,,,
917,資,1062929,,,,
918,援,1057046,,,,
919,南,1054727,,,,
920,沢,1053612,,,,
921,臭,1049529,,,,
922,管,1047762,,,,
923,盗,1043636,,,,
924,珍,1035551,,,,
925,曲,1033943,,,,
926,円,1031563,,,,
927,柄,1031123,,,,
928,喚,1027288,,,,
929,模,1027067,,,,
930,執,1026752,,,,
931,匂,1025714,,,,
932,伏,1021852,,,,
933,継,1018868,,,,
934,氷,1018007,,,,
935,諦,1016826,,,,
936,鏡,1010954,,,,
937,祭,1010348,,,,
